,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Datetime,yr,mo,day
66,CULEX RESTUANS,T141,41.961743,-87.76007,2,0,2007-06-05,2007,6,5
67,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,1,0,2007-06-05,2007,6,5
68,CULEX RESTUANS,T142,41.953067,-87.776792,3,0,2007-06-05,2007,6,5
69,CULEX RESTUANS,T145,41.878114000000004,-87.629798,3,0,2007-06-05,2007,6,5
70,CULEX PIPIENS/RESTUANS,T146,41.958271,-87.702575,1,0,2007-06-05,2007,6,5
71,CULEX RESTUANS,T146,41.958271,-87.702575,2,0,2007-06-05,2007,6,5
72,CULEX RESTUANS,T147,41.932094,-87.700117,1,0,2007-06-05,2007,6,5
73,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,1,0,2007-06-05,2007,6,5
74,CULEX RESTUANS,T150,42.006858,-87.675919,2,0,2007-06-05,2007,6,5
75,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,1,0,2007-06-05,2007,6,5
76,CULEX RESTUANS,T151,41.916265,-87.800515,10,0,2007-06-05,2007,6,5
77,CULEX RESTUANS,T152,41.846075,-87.716277,1,0,2007-06-05,2007,6,5
78,CULEX RESTUANS,T154,41.918704999999996,-87.752329,1,0,2007-06-05,2007,6,5
79,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,3,0,2007-06-05,2007,6,5
80,CULEX RESTUANS,T158,41.682587,-87.707973,8,0,2007-06-05,2007,6,5
81,CULEX PIPIENS/RESTUANS,T162,41.725516999999996,-87.61425799999999,1,0,2007-06-05,2007,6,5
82,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,2,0,2007-06-05,2007,6,5
83,CULEX RESTUANS,T218,41.948167,-87.730698,1,0,2007-06-05,2007,6,5
84,CULEX RESTUANS,T220,41.963976,-87.69181,1,0,2007-06-05,2007,6,5
85,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,2007-06-26,2007,6,26
86,CULEX RESTUANS,T002,41.95469,-87.800991,4,0,2007-06-26,2007,6,26
87,CULEX SALINARIUS,T002,41.95469,-87.800991,1,0,2007-06-26,2007,6,26
88,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,1,0,2007-06-26,2007,6,26
89,CULEX RESTUANS,T007,41.994991,-87.769279,4,0,2007-06-26,2007,6,26
90,CULEX RESTUANS,T015,41.974089,-87.824812,1,0,2007-06-26,2007,6,26
91,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,1,0,2007-06-26,2007,6,26
92,CULEX RESTUANS,T045,41.9216,-87.666455,1,0,2007-06-26,2007,6,26
93,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.65449100000001,1,0,2007-06-26,2007,6,26
94,CULEX RESTUANS,T046,41.891118,-87.65449100000001,6,0,2007-06-26,2007,6,26
95,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,2,0,2007-06-26,2007,6,26
96,CULEX RESTUANS,T049,41.896282,-87.655232,1,0,2007-06-26,2007,6,26
97,CULEX RESTUANS,T050,41.919343,-87.694259,1,0,2007-06-26,2007,6,26
98,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,1,0,2007-06-26,2007,6,26
99,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,1,0,2007-06-26,2007,6,26
100,CULEX RESTUANS,T086,41.688324,-87.676709,2,0,2007-06-26,2007,6,26
101,CULEX RESTUANS,T096,41.731922,-87.677512,5,0,2007-06-26,2007,6,26
102,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,1,0,2007-06-26,2007,6,26
103,CULEX RESTUANS,T129,41.891126,-87.61156,1,0,2007-06-26,2007,6,26
104,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,1,0,2007-06-26,2007,6,26
105,CULEX RESTUANS,T143,41.999128999999996,-87.795585,1,0,2007-06-26,2007,6,26
106,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.68776899999999,2,0,2007-06-26,2007,6,26
107,CULEX RESTUANS,T148,42.01743,-87.68776899999999,2,0,2007-06-26,2007,6,26
108,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,2,0,2007-06-26,2007,6,26
109,CULEX RESTUANS,T011,41.944869,-87.832763,4,0,2007-06-26,2007,6,26
110,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.81150600000001,2,0,2007-06-26,2007,6,26
111,CULEX RESTUANS,T016,42.011601,-87.81150600000001,2,0,2007-06-26,2007,6,26
112,CULEX RESTUANS,T019,41.94983,-87.69845699999999,1,0,2007-06-26,2007,6,26
113,CULEX PIPIENS/RESTUANS,T025,41.979243,-87.750938,1,0,2007-06-26,2007,6,26
114,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,1,0,2007-06-26,2007,6,26
115,CULEX RESTUANS,T028,41.986921,-87.689778,9,0,2007-06-26,2007,6,26
116,CULEX PIPIENS/RESTUANS,T033,41.906638,-87.701431,2,0,2007-06-26,2007,6,26
117,CULEX RESTUANS,T033,41.906638,-87.701431,3,0,2007-06-26,2007,6,26
118,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,10,0,2007-06-26,2007,6,26
119,CULEX RESTUANS,T090,41.868077,-87.666901,19,0,2007-06-26,2007,6,26
120,CULEX PIPIENS,T090,41.868077,-87.666901,1,0,2007-06-26,2007,6,26
121,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,20,0,2007-06-26,2007,6,26
122,CULEX RESTUANS,T135,41.662014,-87.72460799999999,25,0,2007-06-26,2007,6,26
123,CULEX PIPIENS,T135,41.662014,-87.72460799999999,6,0,2007-06-26,2007,6,26
124,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,1,0,2007-06-26,2007,6,26
125,CULEX RESTUANS,T141,41.961743,-87.76007,3,0,2007-06-26,2007,6,26
126,CULEX RESTUANS,T142,41.953067,-87.776792,4,0,2007-06-26,2007,6,26
127,CULEX RESTUANS,T145,41.878114000000004,-87.629798,1,0,2007-06-26,2007,6,26
128,CULEX RESTUANS,T146,41.958271,-87.702575,6,0,2007-06-26,2007,6,26
129,CULEX RESTUANS,T147,41.932094,-87.700117,1,0,2007-06-26,2007,6,26
130,CULEX RESTUANS,T150,42.006858,-87.675919,2,0,2007-06-26,2007,6,26
131,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,3,0,2007-06-26,2007,6,26
132,CULEX RESTUANS,T151,41.916265,-87.800515,6,0,2007-06-26,2007,6,26
133,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,1,0,2007-06-26,2007,6,26
134,CULEX RESTUANS,T158,41.682587,-87.707973,4,0,2007-06-26,2007,6,26
135,CULEX RESTUANS,T220,41.963976,-87.69181,1,0,2007-06-26,2007,6,26
136,CULEX PIPIENS/RESTUANS,T001,41.953705,-87.733974,1,0,2007-06-26,2007,6,26
137,CULEX RESTUANS,T003,41.964242,-87.757639,2,0,2007-06-26,2007,6,26
138,CULEX PIPIENS/RESTUANS,T006,41.990284,-87.797127,1,0,2007-06-26,2007,6,26
139,CULEX RESTUANS,T006,41.990284,-87.797127,1,0,2007-06-26,2007,6,26
140,CULEX RESTUANS,T008,42.008314,-87.77792099999999,2,0,2007-06-26,2007,6,26
141,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,2,0,2007-06-26,2007,6,26
142,CULEX RESTUANS,T034,41.843810999999995,-87.686763,1,0,2007-06-26,2007,6,26
143,CULEX RESTUANS,T037,41.921177,-87.79518,1,0,2007-06-26,2007,6,26
144,CULEX PIPIENS/RESTUANS,T040,41.852652,-87.719887,5,0,2007-06-26,2007,6,26
145,CULEX RESTUANS,T040,41.852652,-87.719887,1,0,2007-06-26,2007,6,26
146,CULEX RESTUANS,T043,41.857402,-87.694991,1,0,2007-06-26,2007,6,26
147,CULEX PIPIENS/RESTUANS,T047,41.868142,-87.696269,1,0,2007-06-26,2007,6,26
148,CULEX RESTUANS,T047,41.868142,-87.696269,1,0,2007-06-26,2007,6,26
149,CULEX PIPIENS/RESTUANS,T051,41.846283,-87.656913,1,0,2007-06-26,2007,6,26
150,CULEX RESTUANS,T085,41.721474,-87.648064,2,0,2007-06-26,2007,6,26
151,CULEX PIPIENS,T088,41.869107,-87.69629300000001,1,0,2007-06-26,2007,6,26
152,CULEX PIPIENS/RESTUANS,T161,41.719059,-87.675088,3,0,2007-06-26,2007,6,26
153,CULEX RESTUANS,T161,41.719059,-87.675088,5,0,2007-06-26,2007,6,26
154,CULEX RESTUANS,T219,41.966986999999996,-87.674677,1,0,2007-06-26,2007,6,26
155,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,2,0,2007-06-29,2007,6,29
156,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,2007-06-29,2007,6,29
157,CULEX RESTUANS,T015,41.974089,-87.824812,2,0,2007-06-29,2007,6,29
158,CULEX RESTUANS,T046,41.891118,-87.65449100000001,2,0,2007-06-29,2007,6,29
159,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,3,0,2007-06-29,2007,6,29
160,CULEX RESTUANS,T086,41.688324,-87.676709,2,0,2007-06-29,2007,6,29
161,CULEX PIPIENS,T086,41.688324,-87.676709,1,0,2007-06-29,2007,6,29
162,CULEX PIPIENS/RESTUANS,T091,41.862292,-87.64886,1,0,2007-06-29,2007,6,29
163,CULEX RESTUANS,T096,41.731922,-87.677512,1,0,2007-06-29,2007,6,29
164,CULEX RESTUANS,T143,41.999128999999996,-87.795585,3,0,2007-06-29,2007,6,29
165,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.68776899999999,2,0,2007-06-29,2007,6,29
166,CULEX RESTUANS,T148,42.01743,-87.68776899999999,2,0,2007-06-29,2007,6,29
167,CULEX RESTUANS,T153,41.907645,-87.760886,1,0,2007-06-29,2007,6,29
168,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.81150600000001,2,0,2007-06-29,2007,6,29
169,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,2,0,2007-06-29,2007,6,29
170,CULEX RESTUANS,T028,41.986921,-87.689778,1,0,2007-06-29,2007,6,29
171,CULEX PIPIENS,T031,41.801497999999995,-87.763416,1,0,2007-06-29,2007,6,29
172,CULEX RESTUANS,T089,41.723195000000004,-87.64997,2,0,2007-06-29,2007,6,29
173,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,1,0,2007-06-29,2007,6,29
174,CULEX RESTUANS,T090,41.868077,-87.666901,6,0,2007-06-29,2007,6,29
175,CULEX PIPIENS,T090,41.868077,-87.666901,3,0,2007-06-29,2007,6,29
176,CULEX RESTUANS,T135,41.662014,-87.72460799999999,3,0,2007-06-29,2007,6,29
177,CULEX RESTUANS,T141,41.961743,-87.76007,1,0,2007-06-29,2007,6,29
178,CULEX RESTUANS,T142,41.953067,-87.776792,1,0,2007-06-29,2007,6,29
179,CULEX RESTUANS,T145,41.878114000000004,-87.629798,1,0,2007-06-29,2007,6,29
180,CULEX RESTUANS,T146,41.958271,-87.702575,2,0,2007-06-29,2007,6,29
181,CULEX RESTUANS,T150,42.006858,-87.675919,1,0,2007-06-29,2007,6,29
182,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,1,0,2007-06-29,2007,6,29
183,CULEX RESTUANS,T151,41.916265,-87.800515,5,0,2007-06-29,2007,6,29
184,CULEX RESTUANS,T158,41.682587,-87.707973,6,0,2007-06-29,2007,6,29
185,CULEX RESTUANS,T218,41.948167,-87.730698,5,0,2007-06-29,2007,6,29
186,CULEX RESTUANS,T006,41.990284,-87.797127,1,0,2007-06-29,2007,6,29
187,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,1,0,2007-06-29,2007,6,29
188,CULEX PIPIENS/RESTUANS,T043,41.857402,-87.694991,2,0,2007-06-29,2007,6,29
189,CULEX RESTUANS,T043,41.857402,-87.694991,3,0,2007-06-29,2007,6,29
190,CULEX PIPIENS/RESTUANS,T085,41.721474,-87.648064,1,0,2007-06-29,2007,6,29
191,CULEX PIPIENS,T085,41.721474,-87.648064,1,0,2007-06-29,2007,6,29
192,CULEX PIPIENS/RESTUANS,T013,41.923738,-87.785288,1,0,2007-06-29,2007,6,29
193,CULEX RESTUANS,T014,41.970248,-87.787992,1,0,2007-06-29,2007,6,29
194,CULEX RESTUANS,T018,42.010412,-87.66214000000001,1,0,2007-06-29,2007,6,29
195,CULEX PIPIENS/RESTUANS,T030,41.899229999999996,-87.716788,1,0,2007-06-29,2007,6,29
196,CULEX RESTUANS,T030,41.899229999999996,-87.716788,1,0,2007-06-29,2007,6,29
197,CULEX PIPIENS/RESTUANS,T084,41.692555,-87.598865,1,0,2007-06-29,2007,6,29
198,CULEX RESTUANS,T084,41.692555,-87.598865,1,0,2007-06-29,2007,6,29
199,CULEX PIPIENS/RESTUANS,T144,41.94016,-87.794896,1,0,2007-06-29,2007,6,29
200,CULEX PIPIENS/RESTUANS,T160,41.903002,-87.68826700000001,1,0,2007-06-29,2007,6,29
201,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,3,0,2007-07-02,2007,7,2
202,CULEX RESTUANS,T002,41.95469,-87.800991,2,0,2007-07-02,2007,7,2
203,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,4,0,2007-07-02,2007,7,2
204,CULEX RESTUANS,T007,41.994991,-87.769279,4,0,2007-07-02,2007,7,2
205,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,3,0,2007-07-02,2007,7,2
206,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,2,0,2007-07-02,2007,7,2
207,CULEX RESTUANS,T045,41.9216,-87.666455,2,0,2007-07-02,2007,7,2
208,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.65449100000001,3,0,2007-07-02,2007,7,2
209,CULEX RESTUANS,T046,41.891118,-87.65449100000001,16,0,2007-07-02,2007,7,2
210,CULEX RESTUANS,T048,41.867108,-87.654224,1,0,2007-07-02,2007,7,2
211,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,2,0,2007-07-02,2007,7,2
212,CULEX RESTUANS,T054,41.921965,-87.632085,1,0,2007-07-02,2007,7,2
213,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,2,0,2007-07-02,2007,7,2
214,CULEX RESTUANS,T086,41.688324,-87.676709,3,0,2007-07-02,2007,7,2
215,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,3,0,2007-07-02,2007,7,2
216,CULEX RESTUANS,T096,41.731922,-87.677512,4,0,2007-07-02,2007,7,2
217,CULEX PIPIENS,T096,41.731922,-87.677512,3,0,2007-07-02,2007,7,2
218,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,2,0,2007-07-02,2007,7,2
219,CULEX RESTUANS,T129,41.891126,-87.61156,1,0,2007-07-02,2007,7,2
220,CULEX RESTUANS,T148,42.01743,-87.68776899999999,1,0,2007-07-02,2007,7,2
221,CULEX RESTUANS,T009,41.981964000000005,-87.812827,2,0,2007-07-02,2007,7,2
222,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,6,0,2007-07-02,2007,7,2
223,CULEX RESTUANS,T016,42.011601,-87.81150600000001,1,0,2007-07-02,2007,7,2
224,CULEX RESTUANS,T019,41.94983,-87.69845699999999,1,0,2007-07-02,2007,7,2
225,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,1,0,2007-07-02,2007,7,2
226,CULEX RESTUANS,T028,41.986921,-87.689778,5,0,2007-07-02,2007,7,2
227,CULEX PIPIENS,T028,41.986921,-87.689778,1,0,2007-07-02,2007,7,2
228,CULEX PIPIENS/RESTUANS,T089,41.723195000000004,-87.64997,1,0,2007-07-02,2007,7,2
229,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,2,0,2007-07-02,2007,7,2
230,CULEX RESTUANS,T090,41.868077,-87.666901,11,0,2007-07-02,2007,7,2
231,CULEX RESTUANS,T092,41.869215999999994,-87.627561,2,0,2007-07-02,2007,7,2
232,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,16,0,2007-07-02,2007,7,2
233,CULEX RESTUANS,T135,41.662014,-87.72460799999999,12,0,2007-07-02,2007,7,2
234,CULEX SALINARIUS,T135,41.662014,-87.72460799999999,2,0,2007-07-02,2007,7,2
235,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,1,0,2007-07-02,2007,7,2
236,CULEX RESTUANS,T142,41.953067,-87.776792,1,0,2007-07-02,2007,7,2
237,CULEX SALINARIUS,T145,41.878114000000004,-87.629798,1,0,2007-07-02,2007,7,2
238,CULEX RESTUANS,T146,41.958271,-87.702575,1,0,2007-07-02,2007,7,2
239,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,1,0,2007-07-02,2007,7,2
240,CULEX RESTUANS,T149,41.994469,-87.667736,1,0,2007-07-02,2007,7,2
241,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,5,0,2007-07-02,2007,7,2
242,CULEX RESTUANS,T151,41.916265,-87.800515,2,0,2007-07-02,2007,7,2
243,CULEX PIPIENS/RESTUANS,T152,41.846075,-87.716277,1,0,2007-07-02,2007,7,2
244,CULEX PIPIENS/RESTUANS,T154,41.918704999999996,-87.752329,1,0,2007-07-02,2007,7,2
245,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,28,0,2007-07-02,2007,7,2
246,CULEX RESTUANS,T158,41.682587,-87.707973,4,0,2007-07-02,2007,7,2
247,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,2,0,2007-07-02,2007,7,2
248,CULEX RESTUANS,T003,41.964242,-87.757639,1,0,2007-07-02,2007,7,2
249,CULEX RESTUANS,T006,41.990284,-87.797127,1,0,2007-07-02,2007,7,2
250,CULEX PIPIENS/RESTUANS,T008,42.008314,-87.77792099999999,4,0,2007-07-02,2007,7,2
251,CULEX RESTUANS,T008,42.008314,-87.77792099999999,3,0,2007-07-02,2007,7,2
252,CULEX SALINARIUS,T012,41.991429,-87.747113,1,0,2007-07-02,2007,7,2
253,CULEX PIPIENS/RESTUANS,T037,41.921177,-87.79518,1,0,2007-07-02,2007,7,2
254,CULEX RESTUANS,T037,41.921177,-87.79518,2,0,2007-07-02,2007,7,2
255,CULEX PIPIENS/RESTUANS,T043,41.857402,-87.694991,5,0,2007-07-02,2007,7,2
256,CULEX PIPIENS/RESTUANS,T047,41.868142,-87.696269,4,0,2007-07-02,2007,7,2
257,CULEX RESTUANS,T047,41.868142,-87.696269,8,0,2007-07-02,2007,7,2
258,CULEX PIPIENS/RESTUANS,T051,41.846283,-87.656913,1,0,2007-07-02,2007,7,2
259,CULEX PIPIENS/RESTUANS,T085,41.721474,-87.648064,2,0,2007-07-02,2007,7,2
260,CULEX PIPIENS/RESTUANS,T088,41.869107,-87.69629300000001,1,0,2007-07-02,2007,7,2
261,CULEX PIPIENS/RESTUANS,T161,41.719059,-87.675088,3,0,2007-07-02,2007,7,2
262,CULEX RESTUANS,T161,41.719059,-87.675088,2,0,2007-07-02,2007,7,2
263,CULEX PIPIENS/RESTUANS,T013,41.923738,-87.785288,6,0,2007-07-02,2007,7,2
264,CULEX RESTUANS,T013,41.923738,-87.785288,1,0,2007-07-02,2007,7,2
265,CULEX PIPIENS/RESTUANS,T014,41.970248,-87.787992,5,0,2007-07-02,2007,7,2
266,CULEX RESTUANS,T014,41.970248,-87.787992,1,0,2007-07-02,2007,7,2
267,CULEX PIPIENS/RESTUANS,T018,42.010412,-87.66214000000001,1,0,2007-07-02,2007,7,2
268,CULEX PIPIENS/RESTUANS,T030,41.899229999999996,-87.716788,3,0,2007-07-02,2007,7,2
269,CULEX RESTUANS,T030,41.899229999999996,-87.716788,2,0,2007-07-02,2007,7,2
270,CULEX PIPIENS/RESTUANS,T005,41.942114000000004,-87.776385,3,0,2007-07-02,2007,7,2
271,CULEX PIPIENS/RESTUANS,T017,41.960615999999995,-87.777189,1,0,2007-07-02,2007,7,2
272,CULEX PIPIENS/RESTUANS,T044,41.883284,-87.705085,2,0,2007-07-02,2007,7,2
273,CULEX RESTUANS,T044,41.883284,-87.705085,1,0,2007-07-02,2007,7,2
274,CULEX PIPIENS/RESTUANS,T095,41.704336,-87.70373599999999,1,0,2007-07-02,2007,7,2
275,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,18,0,2007-07-11,2007,7,11
276,CULEX RESTUANS,T002,41.95469,-87.800991,7,0,2007-07-11,2007,7,11
277,CULEX PIPIENS,T002,41.95469,-87.800991,2,0,2007-07-11,2007,7,11
278,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,3,0,2007-07-11,2007,7,11
279,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,2007-07-11,2007,7,11
280,CULEX RESTUANS,T015,41.974089,-87.824812,1,0,2007-07-11,2007,7,11
281,CULEX RESTUANS,T015,41.974089,-87.824812,2,0,2007-07-11,2007,7,11
282,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,4,0,2007-07-11,2007,7,11
283,CULEX RESTUANS,T045,41.9216,-87.666455,1,0,2007-07-11,2007,7,11
284,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.65449100000001,6,0,2007-07-11,2007,7,11
285,CULEX RESTUANS,T046,41.891118,-87.65449100000001,5,0,2007-07-11,2007,7,11
