,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Datetime,yr,mo,day
42,1,87,55,71,10,46,58,0.0,0.00,29.34,30.06,10.0,18,10.2,2007-05-22,2007,5,22
44,1,89,60,75,14,49,61,0.0,0.00,29.39,30.10,11.4,19,11.8,2007-05-23,2007,5,23
46,1,88,63,76,14,54,63,0.0,0.02,29.41,30.11,14.9,21,17.3,2007-05-24,2007,5,24
48,1,70,56,63, 1,44,53,0.0,  T,29.51,30.24,4.9,5,8.8,2007-05-25,2007,5,25
50,1,65,49,57,-5,55,56,0.0,1.01,29.36,30.11,2.8,17,7.2,2007-05-26,2007,5,26
52,1,75,57,66, 4,47,56,0.0,0.04,29.34,30.06,8.9,26,9.5,2007-05-27,2007,5,27
54,1,79,50,65, 2,47,56,0.0,  T,29.43,30.15,4.8,10,5.3,2007-05-28,2007,5,28
56,1,88,60,74,10,58,65,0.0,0.00,29.39,30.11,5.8,18,6.5,2007-05-29,2007,5,29
58,1,87,66,77,13,58,65,0.0,0.00,29.31,30.04,10.3,19,10.6,2007-05-30,2007,5,30
60,1,78,65,72, 8,61,65,0.0,0.01,29.28,30.00,9.3,19,9.9,2007-05-31,2007,5,31
62,1,85,62,74,10,63,66,0.0,0.19,29.19,29.91,4.2,17,6.4,2007-06-01,2007,6,1
64,1,81,65,73, 9,63,67,0.0,0.04,29.03,29.77,6.5,22,7.4,2007-06-02,2007,6,2
66,1,78,62,70, 6,60,63,0.0,0.01,28.82,29.56,5.2,25,6.7,2007-06-03,2007,6,3
68,1,71,58,65, 1,58,60,0.0,0.39,28.82,29.52,7.8,31,9.7,2007-06-04,2007,6,4
70,1,64,47,56,-9,48,51,0.0,0.42,29.10,29.79,5.2,5,7.6,2007-06-05,2007,6,5
72,1,71,44,58,-8,48,55,0.0,0.01,29.07,29.81,10.8,17,11.4,2007-06-06,2007,6,6
74,1,91,71,81,15,62,69,0.0,0.00,28.84,29.55,22.7,20,23.1,2007-06-07,2007,6,7
76,1,81,57,69, 3,53,61,0.0,0.00,29.18,29.85,10.9,28,13.8,2007-06-08,2007,6,8
78,1,79,52,66, 0,47,57,0.0,0.00,29.36,30.07,0.3,33,5.0,2007-06-09,2007,6,9
80,1,81,55,68, 1,51,59,0.0,0.00,29.34,30.05,4.8,17,5.6,2007-06-10,2007,6,10
82,1,86,58,72, 5,52,61,0.0,0.00,29.41,30.11,4.9,11,6.9,2007-06-11,2007,6,11
84,1,83,62,73, 5,50,60,0.0,0.00,29.44,30.16,8.3,5,8.8,2007-06-12,2007,6,12
86,1,87,60,74, 6,53,62,0.0,0.00,29.36,30.09,7.2,5,8.6,2007-06-13,2007,6,13
88,1,89,64,77, 9,55,64,0.0,0.00,29.30,30.02,5.6,5,6.8,2007-06-14,2007,6,14
90,1,91,63,77, 9,56,64,0.0,0.00,29.28,29.99,4.1,6,4.9,2007-06-15,2007,6,15
92,1,93,66,80,11,60,67,0.0,  T,29.26,29.97,4.8,28,5.8,2007-06-16,2007,6,16
94,1,91,70,81,12,64,70,0.0,0.00,29.23,29.95,2.8,11,6.3,2007-06-17,2007,6,17
96,1,89,69,79, 9,65,70,0.0,0.28,29.12,29.84,14.0,20,15.1,2007-06-18,2007,6,18
98,1,80,65,73, 3,55,63,0.0,0.58,29.26,29.95,10.7,28,11.4,2007-06-19,2007,6,19
100,1,84,61,73, 3,52,61,0.0,0.00,29.39,30.10,7.8,27,8.8,2007-06-20,2007,6,20
102,1,77,61,69,-1,51,60,0.0,0.01,29.36,30.08,3.5,3,10.7,2007-06-21,2007,6,21
104,1,76,61,69,-1,50,58,0.0,  T,29.33,30.06,7.8,6,8.7,2007-06-22,2007,6,22
106,1,67,62,65,-5,58,61,0.0,0.05,29.23,29.96,7.6,12,9.0,2007-06-23,2007,6,23
108,1,77,63,70,-1,62,65,0.0,0.00,29.26,29.97,7.0,9,8.0,2007-06-24,2007,6,24
110,1,89,65,77, 6,66,70,0.0,0.00,29.38,30.07,3.9,14,6.8,2007-06-25,2007,6,25
112,1,92,70,81,10,69,72,0.0,0.16,29.39,30.11,6.1,22,7.1,2007-06-26,2007,6,26
114,1,91,71,81,10,70,72,0.0,0.15,29.29,30.02,7.5,24,8.8,2007-06-27,2007,6,27
116,1,74,58,66,-5,55,60,0.0,0.00,29.41,30.09,11.9,3,12.5,2007-06-28,2007,6,28
118,1,70,56,63,-8,55,59,0.0,0.00,29.41,30.13,7.6,2,8.3,2007-06-29,2007,6,29
120,1,79,54,67,-5,46,56,0.0,0.00,29.41,30.13,4.9,3,5.8,2007-06-30,2007,6,30
122,1,75,54,65,-7,52,58,0.0,0.00,29.51,30.23,8.6,4,8.6,2007-07-01,2007,7,1
124,1,79,53,66,-6,50,58,0.0,0.00,29.49,30.22,5.9,14,8.1,2007-07-02,2007,7,2
126,1,83,60,72, 0,57,63,0.0,0.40,29.31,30.06,6.7,21,7.3,2007-07-03,2007,7,3
128,1,86,67,77, 5,65,69,0.0,0.16,29.18,29.90,4.6,27,8.2,2007-07-04,2007,7,4
130,1,89,71,80, 8,60,67,0.0,0.00,29.24,29.94,6.4,31,8.1,2007-07-05,2007,7,5
132,1,86,66,76, 4,57,64,0.0,0.00,29.32,30.03,3.2,5,5.5,2007-07-06,2007,7,6
134,1,90,64,77, 5,63,69,0.0,0.00,29.18,29.91,8.4,22,8.6,2007-07-07,2007,7,7
136,1,94,75,85,12,67,72,0.0,0.00,29.05,29.77,12.9,24,13.1,2007-07-08,2007,7,8
138,1,94,70,82, 9,66,70,0.0,0.30,29.11,29.80,4.9,24,8.8,2007-07-09,2007,7,9
140,1,89,69,79, 6,67,70,0.0,0.43,29.06,29.77,8.6,23,10.5,2007-07-10,2007,7,10
142,1,77,62,70,-3,51,59,0.0,0.00,29.23,29.93,8.8,30,10.9,2007-07-11,2007,7,11
144,1,80,61,71,-2,51,59,0.0,0.00,29.22,29.93,9.4,29,11.1,2007-07-12,2007,7,12
146,1,78,58,68,-5,52,58,0.0,0.00,29.26,29.98,1.4,1,5.3,2007-07-13,2007,7,13
148,1,84,61,73, 0,55,62,0.0,0.00,29.08,29.79,8.3,26,13.2,2007-07-14,2007,7,14
150,1,82,60,71,-3,53,61,0.0,0.00,29.19,29.89,2.1,29,4.9,2007-07-15,2007,7,15
152,1,82,65,74, 0,60,65,0.0,0.39,29.25,29.96,4.4,24,5.2,2007-07-16,2007,7,16
154,1,83,68,76, 2,66,69,0.0,0.11,29.18,29.90,5.2,23,6.5,2007-07-17,2007,7,17
156,1,85,69,77, 3,68,71,0.0,1.55,29.11,29.84,9.1,24,10.1,2007-07-18,2007,7,18
158,1,83,63,73,-1,63,66,0.0,0.16,29.21,29.90,7.0,1,11.9,2007-07-19,2007,7,19
160,1,75,58,67,-7,53,59,0.0,0.00,29.44,30.14,8.6,3,9.1,2007-07-20,2007,7,20
162,1,74,58,66,-8,52,58,0.0,0.00,29.51,30.22,6.5,3,7.4,2007-07-21,2007,7,21
164,1,81,58,70,-4,55,61,0.0,0.00,29.49,30.21,1.7,16,3.3,2007-07-22,2007,7,22
166,1,83,60,72,-2,55,63,0.0,0.00,29.37,30.10,3.2,9,4.0,2007-07-23,2007,7,23
168,1,82,65,74, 0,58,64,0.0,0.00,29.32,30.04,3.1,20,5.2,2007-07-24,2007,7,24
170,1,85,71,78, 4,61,67,0.0,  T,29.29,30.00,5.8,25,6.6,2007-07-25,2007,7,25
172,1,83,66,75, 1,65,68,0.0,0.19,29.19,29.92,7.2,22,9.4,2007-07-26,2007,7,26
174,1,83,70,77, 3,68,70,0.0,0.17,29.11,29.82,3.0,3,7.9,2007-07-27,2007,7,27
176,1,80,66,73,-1,65,68,0.0,0.00,29.23,29.93,10.0,3,10.2,2007-07-28,2007,7,28
178,1,85,63,74, 0,57,64,0.0,0.00,29.28,29.99,4.8,5,5.7,2007-07-29,2007,7,29
180,1,89,62,76, 2,55,64,0.0,0.00,29.33,30.03,3.8,6,4.3,2007-07-30,2007,7,30
182,1,91,68,80, 6,61,68,0.0,0.00,29.33,30.04,3.3,4,4.9,2007-07-31,2007,7,31
184,1,92,69,81, 8,62,69,0.0,0.00,29.29,30.00,3.5,9,4.1,2007-08-01,2007,8,1
186,1,91,70,81, 8,66,71,0.0,0.00,29.26,29.97,5.5,26,5.9,2007-08-02,2007,8,2
188,1,90,69,80, 7,56,66,0.0,0.00,29.31,30.02,2.7,3,5.7,2007-08-03,2007,8,3
190,1,81,64,73, 0,58,64,0.0,0.03,29.31,30.03,5.7,8,6.1,2007-08-04,2007,8,4
192,1,88,67,78, 5,71,73,0.0,1.43,29.08,29.81,5.4,21,9.6,2007-08-05,2007,8,5
194,1,88,74,81, 8,72,74,0.0,0.26,29.13,29.83,1.6,10,4.9,2007-08-06,2007,8,6
196,1,91,72,82, 9,73,76,0.0,1.31,29.06,29.76,6.2,25,9.0,2007-08-07,2007,8,7
198,1,87,73,80, 7,71,73,0.0,0.06,29.13,29.83,3.0,3,6.9,2007-08-08,2007,8,8
200,1,84,72,78, 5,71,73,0.0,0.05,29.13,29.84,2.5,29,6.0,2007-08-09,2007,8,9
202,1,86,70,78, 5,68,72,0.0,0.00,29.26,29.96,4.5,2,5.9,2007-08-10,2007,8,10
204,1,89,67,78, 5,65,70,0.0,0.00,29.31,30.02,3.2,19,3.9,2007-08-11,2007,8,11
206,1,88,67,78, 5,67,71,0.0,0.29,29.34,30.06,1.7,6,5.4,2007-08-12,2007,8,12
208,1,81,65,73, 0,57,64,0.0,0.00,29.39,30.11,6.2,6,6.9,2007-08-13,2007,8,13
210,1,84,65,75, 3,67,70,0.0,0.41,29.23,29.93,5.9,25,8.0,2007-08-14,2007,8,14
212,1,80,71,76, 4,67,70,0.0,0.23,29.17,29.89,3.4,7,5.8,2007-08-15,2007,8,15
214,1,77,65,71,-1,64,67,0.0,0.00,29.28,29.97,3.6,1,5.7,2007-08-16,2007,8,16
216,1,79,60,70,-2,54,61,0.0,0.00,29.41,30.10,5.9,32,6.8,2007-08-17,2007,8,17
218,1,68,59,64,-8,54,58,0.0,0.09,29.44,30.16,6.4,12,8.1,2007-08-18,2007,8,18
220,1,68,62,65,-6,62,64,0.0,1.33,29.24,29.99,6.0,10,7.4,2007-08-19,2007,8,19
222,1,78,68,73, 2,68,69,0.0,0.91,29.15,29.87,0.5,12,5.7,2007-08-20,2007,8,20
224,1,87,69,78, 7,70,72,0.0,  T,29.21,29.91,3.8,18,6.0,2007-08-21,2007,8,21
226,1,90,69,80, 9,71,73,0.0,0.37,29.23,29.94,5.3,21,9.5,2007-08-22,2007,8,22
228,1,87,69,78, 7,69,71,0.0,2.35,29.15,29.87,9.6,21,11.7,2007-08-23,2007,8,23
230,1,80,69,75, 4,67,69,0.0,0.24,29.11,29.82,5.8,25,7.1,2007-08-24,2007,8,24
232,1,79,64,72, 2,63,66,0.0,0.34,29.23,29.93,3.0,36,5.6,2007-08-25,2007,8,25
234,1,79,60,70, 0,55,61,0.0,0.00,29.38,30.08,3.6,11,5.4,2007-08-26,2007,8,26
236,1,79,60,70, 0,60,64,0.0,0.00,29.36,30.07,6.5,17,7.4,2007-08-27,2007,8,27
238,1,91,67,79, 9,66,70,0.0,0.00,29.28,29.99,9.0,20,9.5,2007-08-28,2007,8,28
240,1,85,68,77, 7,65,69,0.0,  T,29.34,30.04,5.6,3,8.2,2007-08-29,2007,8,29
242,1,75,57,66,-4,54,60,0.0,0.00,29.47,30.18,9.1,2,9.9,2007-08-30,2007,8,30
244,1,77,57,67,-2,52,59,0.0,0.00,29.47,30.19,3.9,4,5.2,2007-08-31,2007,8,31
246,1,81,57,69, 1,55,61,0.0,0.00,29.49,30.22,4.2,11,5.0,2007-09-01,2007,9,1
248,1,85,61,73, 5,57,63,0.0,0.00,29.41,30.15,4.2,21,5.0,2007-09-02,2007,9,2
250,1,88,66,77, 9,61,67,0.0,0.00,29.36,30.09,2.0,27,5.8,2007-09-03,2007,9,3
252,1,89,63,76, 8,60,66,0.0,0.00,29.28,30.00,2.8,22,4.3,2007-09-04,2007,9,4
254,1,90,66,78,11,63,69,0.0,  T,29.24,29.96,6.4,19,6.5,2007-09-05,2007,9,5
256,1,82,73,78,11,67,70,0.0,0.18,29.21,29.92,11.9,20,12.1,2007-09-06,2007,9,6
258,1,84,70,77,10,68,70,0.0,0.19,29.15,29.85,10.4,23,13.9,2007-09-07,2007,9,7
260,1,78,64,71, 5,57,63,0.0,0.00,29.30,30.00,6.0,5,7.2,2007-09-08,2007,9,8
262,1,80,63,72, 6,59,63,0.0,0.00,29.36,30.06,9.2,3,9.9,2007-09-09,2007,9,9
264,1,74,54,64,-2,58,60,0.0,0.36,29.30,30.04,7.2,2,9.0,2007-09-10,2007,9,10
266,1,71,50,61,-4,44,52,0.0,  T,29.20,29.92,11.7,29,13.5,2007-09-11,2007,9,11
268,1,67,46,57,-8,42,49,0.0,0.00,29.40,30.12,1.8,3,5.6,2007-09-12,2007,9,12
270,1,78,50,64,-1,45,54,0.0,0.00,29.23,29.99,8.3,19,8.5,2007-09-13,2007,9,13
272,1,66,45,56,-8,39,48,0.0,0.00,29.36,30.05,12.1,32,13.4,2007-09-14,2007,9,14
274,1,61,39,50,-14,33,43,0.0,0.00,29.56,30.28,1.4,33,5.9,2007-09-15,2007,9,15
276,1,71,44,58,-6,40,49,0.0,0.00,29.46,30.19,6.8,18,7.4,2007-09-16,2007,9,16
278,1,80,52,66, 2,49,57,0.0,0.00,29.39,30.12,11.7,17,12.1,2007-09-17,2007,9,17
280,1,88,63,76,12,58,65,0.0,0.00,29.34,30.06,12.9,19,13.1,2007-09-18,2007,9,18
282,1,84,65,75,12,59,65,0.0,0.00,29.41,30.11,5.0,26,9.7,2007-09-19,2007,9,19
284,1,78,60,69, 7,59,63,0.0,0.00,29.39,30.12,5.3,7,6.6,2007-09-20,2007,9,20
286,1,88,64,76,14,59,66,0.0,0.00,29.18,29.90,10.3,21,12.4,2007-09-21,2007,9,21
288,1,74,51,63, 1,43,53,0.0,0.00,29.42,30.12,2.6,3,6.8,2007-09-22,2007,9,22
290,1,84,50,67, 6,50,58,0.0,0.00,29.43,30.16,4.6,13,5.3,2007-09-23,2007,9,23
292,1,90,68,79,18,63,68,0.0,0.00,29.27,29.99,11.4,19,11.9,2007-09-24,2007,9,24
294,1,85,63,74,13,65,69,0.0,0.27,29.23,29.95,7.9,23,10.5,2007-09-25,2007,9,25
296,1,69,53,61, 1,50,55,0.0,0.09,29.31,30.03,4.3,1,6.6,2007-09-26,2007,9,26
298,1,75,49,62, 2,49,55,0.0,  T,29.26,29.97,4.9,24,6.5,2007-09-27,2007,9,27
300,1,73,53,63, 4,46,53,0.0,0.00,29.47,30.17,2.3,4,7.1,2007-09-28,2007,9,28
302,1,80,50,65, 6,46,55,0.0,0.00,29.50,30.23,9.5,17,9.8,2007-09-29,2007,9,29
304,1,83,59,71,12,49,59,0.0,0.14,29.36,30.10,14.4,19,14.6,2007-09-30,2007,9,30
306,1,69,59,64, 6,59,61,0.0,0.29,29.28,30.00,6.1,22,8.1,2007-10-01,2007,10,1
308,1,78,57,68,10,59,63,0.0,0.09,29.18,29.92,10.8,19,11.1,2007-10-02,2007,10,2
310,1,74,55,65, 8,48,56,0.0,0.00,29.28,29.98,5.9,26,7.1,2007-10-03,2007,10,3
312,1,82,51,67,10,56,61,0.0,0.00,29.34,30.04,3.9,17,4.6,2007-10-04,2007,10,4
314,1,84,62,73,16,65,68,0.0,0.00,29.36,30.08,7.0,17,7.0,2007-10-05,2007,10,5
316,1,87,69,78,22,67,70,0.0,0.00,29.33,30.04,6.9,20,7.4,2007-10-06,2007,10,6
318,1,87,67,77,21,66,70,0.0,0.00,29.31,30.03,5.2,19,5.9,2007-10-07,2007,10,7
320,1,87,60,74,18,61,66,0.0,0.00,29.23,29.93,7.7,24,10.1,2007-10-08,2007,10,8
322,1,76,49,63, 8,44,53,0.0,0.00,29.21,29.94,11.5,28,12.8,2007-10-09,2007,10,9
324,1,54,47,51,-4,38,44,0.0,  T,29.21,29.93,15.1,31,15.5,2007-10-10,2007,10,10
326,1,54,46,50,-4,39,45,0.0,0.00,29.28,30.01,11.9,36,12.9,2007-10-11,2007,10,11
328,1,56,41,49,-5,35,43,0.0,0.00,29.28,30.02,3.4,35,4.6,2007-10-12,2007,10,12
330,1,59,40,50,-3,41,47,0.0,0.00,29.31,30.04,2.7,20,3.5,2007-10-13,2007,10,13
332,1,61,53,57, 4,49,53,0.0,0.15,29.34,30.06,5.6,11,6.6,2007-10-14,2007,10,14
334,1,74,51,63,10,52,57,0.0,0.07,29.21,29.95,4.1,14,5.6,2007-10-15,2007,10,15
336,1,67,52,60, 8,54,57,0.0,0.24,29.16,29.88,6.4,21,7.5,2007-10-16,2007,10,16
338,1,72,47,60, 8,53,57,0.0,0.04,29.07,29.83,9.3,14,9.8,2007-10-17,2007,10,17
340,1,78,59,69,18,56,61,0.0,0.30,28.59,29.34,17.2,19,18.9,2007-10-18,2007,10,18
342,1,60,52,56, 5,48,52,0.0,0.01,28.75,29.44,16.2,24,16.7,2007-10-19,2007,10,19
344,1,73,47,60,10,43,52,0.0,0.00,29.02,29.71,10.9,21,12.0,2007-10-20,2007,10,20
346,1,80,60,70,20,47,57,0.0,0.00,29.08,29.78,18.0,20,18.2,2007-10-21,2007,10,21
348,1,67,46,57, 7,47,50,0.0,0.16,29.26,29.97,5.2,36,9.2,2007-10-22,2007,10,22
350,1,58,43,51, 2,36,44,0.0,0.00,29.20,29.93,5.2,31,8.2,2007-10-23,2007,10,23
352,1,55,43,49, 0,35,42,0.0,0.00,29.46,30.16,13.3,2,14.5,2007-10-24,2007,10,24
354,1,55,45,50, 2,39,46,0.0,  T,29.47,30.20,13.9,6,14.1,2007-10-25,2007,10,25
356,1,65,53,59,11,48,52,0.0,0.33,29.31,30.07,6.2,5,6.9,2007-10-26,2007,10,26
358,1,55,37,46,-2,38,45,0.0,0.01,29.56,30.25,9.4,32,9.9,2007-10-27,2007,10,27
360,1,56,34,45,-2,30,39,0.0,0.00,29.79,30.52,3.4,23,4.2,2007-10-28,2007,10,28
362,1,61,39,50, 3,32,42,0.0,0.00,29.63,30.40,10.2,22,10.4,2007-10-29,2007,10,29
364,1,66,41,54, 8,38,46,0.0,0.00,29.43,30.20,12.2,20,12.5,2007-10-30,2007,10,30
366,1,62,41,52, 6,37,46,0.0,0.00,29.30,30.02,12.2,25,14.3,2007-10-31,2007,10,31
368,1,74,48,61, 8,51,56,0.0,0.00,28.95,29.67,10.6,16,11.5,2008-05-01,2008,5,1
370,1,74,51,63, 9,55,58,0.0,1.28,28.79,29.53,13.8,20,15.1,2008-05-02,2008,5,2
372,1,56,43,50,-4,41,46,0.0,  T,29.01,29.69,10.4,25,12.7,2008-05-03,2008,5,3
374,1,65,38,52,-2,34,45,0.0,0.00,29.31,30.02,5.6,24,6.3,2008-05-04,2008,5,4
376,1,75,50,63, 8,38,50,0.0,0.00,29.27,29.99,4.4,26,7.0,2008-05-05,2008,5,5
378,1,81,46,64, 9,44,55,0.0,0.00,29.16,29.88,6.3,22,7.1,2008-05-06,2008,5,6
380,1,70,49,60, 5,52,56,0.0,0.76,28.97,29.69,3.5,23,12.3,2008-05-07,2008,5,7
382,1,59,45,52,-4,35,44,0.0,0.00,29.08,29.82,12.2,5,12.6,2008-05-08,2008,5,8
384,1,58,41,50,-6,34,43,0.0,0.00,29.15,29.85,6.3,3,6.9,2008-05-09,2008,5,9
386,1,61,38,50,-6,37,45,0.0,0.00,29.08,29.85,5.9,7,6.3,2008-05-10,2008,5,10
388,1,58,46,52,-5,43,47,0.0,0.95,28.85,29.55,14.5,2,17.7,2008-05-11,2008,5,11
390,1,56,40,48,-9,38,43,0.0,0.00,29.26,29.96,5.1,7,7.8,2008-05-12,2008,5,12
392,1,73,40,57,-1,45,51,0.0,0.08,29.20,29.93,15.5,18,15.9,2008-05-13,2008,5,13
394,1,64,45,55,-3,48,52,0.0,0.02,29.19,29.89,2.0,25,9.6,2008-05-14,2008,5,14
396,1,57,43,50,-8,37,45,0.0,0.00,29.33,30.05,6.8,5,7.9,2008-05-15,2008,5,15
398,1,73,40,57,-2,41,50,0.0,0.00,29.10,29.86,8.9,25,9.4,2008-05-16,2008,5,16
400,1,73,52,63, 4,41,52,0.0,0.12,28.87,29.61,12.9,30,14.7,2008-05-17,2008,5,17
402,1,55,44,50,-10,39,45,0.0,0.00,28.93,29.64,3.5,34,8.2,2008-05-18,2008,5,18
404,1,60,40,50,-10,33,43,0.0,  T,28.96,29.69,3.9,7,5.7,2008-05-19,2008,5,19
406,1,66,47,57,-4,37,47,0.0,0.00,28.94,29.66,7.3,31,9.2,2008-05-20,2008,5,20
408,1,66,41,54,-7,36,46,0.0,0.00,29.00,29.70,7.2,32,9.2,2008-05-21,2008,5,21
410,1,59,45,52,-9,38,45,0.0,0.00,29.24,29.94,8.8,5,9.8,2008-05-22,2008,5,22
412,1,57,46,52,-9,39,45,0.0,0.00,29.41,30.12,10.7,3,10.9,2008-05-23,2008,5,23
414,1,67,40,54,-8,40,48,0.0,0.00,29.44,30.18,7.4,7,8.4,2008-05-24,2008,5,24
416,1,78,44,61,-1,50,57,0.0,  T,29.18,29.93,10.3,18,11.9,2008-05-25,2008,5,25
418,1,81,47,64, 2,60,64,0.0,0.48,29.11,29.81,6.2,25,11.8,2008-05-26,2008,5,26
420,1,50,42,46,-16,35,42,0.0,0.00,29.50,30.19,19.2,3,19.3,2008-05-27,2008,5,27
422,1,62,43,53,-10,32,43,0.0,0.00,29.60,30.34,8.2,6,8.7,2008-05-28,2008,5,28
424,1,67,42,55,-9,37,47,0.0,0.01,29.39,30.16,3.5,11,4.2,2008-05-29,2008,5,29
426,1,77,55,66, 2,59,62,0.0,0.40,29.03,29.79,8.4,21,10.4,2008-05-30,2008,5,30
428,1,79,59,69, 5,56,62,0.0,0.00,29.10,29.80,10.8,28,11.9,2008-05-31,2008,5,31
430,1,74,53,64, 0,47,55,0.0,0.00,29.23,29.95,4.6,10,5.4,2008-06-01,2008,6,1
432,1,86,56,71, 7,52,60,0.0,  T,29.16,29.89,1.9,8,4.8,2008-06-02,2008,6,2
434,1,69,55,62,-2,55,57,0.0,0.52,28.97,29.69,7.3,4,9.2,2008-06-03,2008,6,3
436,1,78,54,66, 2,59,61,0.0,  T,28.90,29.62,4.5,4,5.2,2008-06-04,2008,6,4
438,1,87,60,74, 9,68,71,0.0,0.64,29.00,29.70,11.5,20,14.0,2008-06-05,2008,6,5
440,1,87,73,80,14,68,72,0.0,  T,29.07,29.76,21.1,20,21.5,2008-06-06,2008,6,6
442,1,85,69,77,11,71,73,0.0,0.11,29.16,29.86,12.5,19,13.2,2008-06-07,2008,6,7
444,1,85,64,75, 9,68,70,0.0,1.24,29.11,29.81,6.5,18,12.2,2008-06-08,2008,6,8
446,1,74,65,70, 4,64,66,0.0,0.14,29.10,29.82,6.3,22,7.7,2008-06-09,2008,6,9
448,1,79,59,69, 2,56,61,0.0,  T,29.18,29.89,8.8,25,9.6,2008-06-10,2008,6,10
450,1,86,61,74, 7,56,64,0.0,0.00,29.28,29.99,8.9,18,10.0,2008-06-11,2008,6,11
452,1,91,73,82,14,63,69,0.0,0.00,29.20,29.90,16.1,18,16.3,2008-06-12,2008,6,12
454,1,82,65,74, 6,62,66,0.0,0.39,29.21,29.92,8.9,22,9.9,2008-06-13,2008,6,13
456,1,84,59,72, 4,53,61,0.0,0.00,29.23,29.94,8.3,24,8.8,2008-06-14,2008,6,14
458,1,81,61,71, 3,60,64,0.0,0.18,29.15,29.84,8.1,24,9.8,2008-06-15,2008,6,15
460,1,72,59,66,-3,49,57,0.0,0.00,29.20,29.91,10.7,31,11.2,2008-06-16,2008,6,16
462,1,76,55,66,-3,46,55,0.0,0.00,29.26,29.97,10.7,30,11.2,2008-06-17,2008,6,17
464,1,77,56,67,-3,48,56,0.0,0.00,29.21,29.92,4.8,3,7.3,2008-06-18,2008,6,18
466,1,81,52,67,-3,46,56,0.0,0.00,29.21,29.93,1.8,25,5.1,2008-06-19,2008,6,19
468,1,82,58,70, 0,53,60,0.0,0.09,29.25,29.96,6.7,22,7.9,2008-06-20,2008,6,20
470,1,82,61,72, 2,52,61,0.0,0.01,29.24,29.95,7.1,29,7.8,2008-06-21,2008,6,21
472,1,82,57,70, 0,52,59,0.0,0.16,29.18,29.89,2.9,31,5.1,2008-06-22,2008,6,22
474,1,77,56,67,-3,54,59,0.0,0.00,29.33,30.04,3.9,4,6.4,2008-06-23,2008,6,23
476,1,82,55,69,-2,53,60,0.0,0.00,29.44,30.15,5.1,18,5.8,2008-06-24,2008,6,24
478,1,79,66,73, 2,64,67,0.0,0.08,29.28,29.99,8.0,22,9.3,2008-06-25,2008,6,25
480,1,86,70,78, 7,66,70,0.0,0.00,29.15,29.86,6.3,26,7.3,2008-06-26,2008,6,26
482,1,84,66,75, 4,67,70,0.0,  T,29.05,29.76,6.7,22,7.4,2008-06-27,2008,6,27
484,1,83,64,74, 3,55,63,0.0,0.04,28.98,29.69,12.1,25,13.2,2008-06-28,2008,6,28
